City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,pevek,69.7008,170.3133,-37.23,100,97,3.27,RU,2023-02-06 10:53:02
228,jinchang,38.4953,102.1739,29.41,35,61,4.14,CN,2023-02-06 10:53:03
229,lianzhou,24.7811,112.3825,63.86,91,92,1.92,CN,2023-02-06 10:53:03
230,deputatskiy,69.3,139.9,-35.12,99,91,5.12,RU,2023-02-06 10:53:03
231,beloha,-25.1667,45.05,86.97,49,99,11.68,MG,2023-02-06 10:53:04
232,gorontalo,0.5412,123.0595,75.83,89,86,3.74,ID,2023-02-06 10:53:04
233,gladstone,-23.85,151.25,80.53,74,75,12.66,AU,2023-02-06 10:53:05
234,fiumicino,41.7675,12.2291,49.14,31,0,16.11,IT,2023-02-06 10:53:05
235,mananjary,-21.2167,48.3333,75.38,91,99,3.06,MG,2023-02-06 10:53:05
236,rundu,-17.9333,19.7667,80.51,58,97,4.52,NA,2023-02-06 10:53:06
237,matay,28.419,30.7792,60.6,25,1,20.0,EG,2023-02-06 10:53:06
238,cusuna,15.85,-85.2333,71.58,81,51,1.74,HN,2023-02-06 10:53:07
239,severo-kurilsk,50.6789,156.125,24.66,62,99,24.45,RU,2023-02-06 10:53:07
240,ipixuna,-1.7625,-48.8043,74.8,95,40,2.8,BR,2023-02-06 10:53:07
241,harper,4.375,-7.7169,84.52,66,72,6.82,LR,2023-02-06 10:53:08
242,pocatello,42.8713,-112.4455,32.18,83,100,20.71,US,2023-02-06 10:50:20
243,penzance,50.1186,-5.5371,48.88,81,20,17.27,GB,2023-02-06 10:53:08
244,alofi,-19.0595,-169.9187,71.49,94,98,8.05,NU,2023-02-06 10:53:09
245,anderson,34.5334,-82.6499,45.05,89,0,3.44,US,2023-02-06 10:53:09
246,rambha,19.5167,85.1,79.72,45,35,12.28,IN,2023-02-06 10:53:09
247,ambo,-10.1308,-76.2047,59.95,88,97,2.17,PE,2023-02-06 10:53:10
248,chumikan,54.7183,135.315,-11.96,94,25,9.26,RU,2023-02-06 10:53:10
249,gaya,24.7833,85.0,80.51,39,0,9.22,IN,2023-02-06 10:52:36
250,fomboni,-12.28,43.7425,82.78,71,100,8.84,KM,2023-02-06 10:53:11
251,kavieng,-2.5744,150.7967,81.55,79,73,9.04,PG,2023-02-06 10:53:11
252,kodiak,57.79,-152.4072,35.11,69,100,9.22,US,2023-02-06 10:53:12
253,jining,35.405,116.5814,50.14,42,80,4.92,CN,2023-02-06 10:53:12
254,alcudia,39.8532,3.1214,54.19,83,86,31.45,ES,2023-02-06 10:53:13
255,geraldton,-28.7667,114.6,75.61,64,0,18.41,AU,2023-02-06 10:53:13
